http://www.wikidata.org/entity/Q11813,James Madison,159,politician_writer_diplomat_philosopher_lawyer_statesperson
http://www.wikidata.org/entity/Q11815,James Monroe,146,politician_lawyer_diplomat_farmer_statesperson_writer
http://www.wikidata.org/entity/Q11816,John Quincy Adams,152,politician_lawyer_diplomat_statesperson_diarist_writer
http://www.wikidata.org/entity/Q11817,Andrew Jackson,154,judge_lawyer_politician_military officer_statesperson
http://www.wikidata.org/entity/Q11820,Martin Van Buren,137,politician_lawyer_diplomat_statesperson_writer
http://www.wikidata.org/entity/Q11826,Al-Biruni,99,philosopher_chemist_geographer_polymath_mathematician_cartographer_astronomer_translator_anthropologist_physicist_astrologer_historian_linguist_indologist_writer_pharmacist_humanist_botanist
http://www.wikidata.org/entity/Q11860,Silvio Berlusconi,154,politician_entrepreneur_media proprietor_senator
http://www.wikidata.org/entity/Q11869,William Henry Harrison,134,politician_diplomat_military officer_statesperson
http://www.wikidata.org/entity/Q11869065,Kaja Kallas,86,politician_lawyer_business graduate
http://www.wikidata.org/entity/Q118725,Hafiz al-Assad,86,politician_military personnel
http://www.wikidata.org/entity/Q11881,John Tyler,133,politician_lawyer_statesperson
http://www.wikidata.org/entity/Q11887,William Rowan Hamilton,81,mathematician_physicist_astronomer_academic_university teacher_theoretical physicist
http://www.wikidata.org/entity/Q1189,Usain Bolt,131,sprinter_association football player
http://www.wikidata.org/entity/Q11891,James K. Polk,135,politician_lawyer_farmer_statesperson
http://www.wikidata.org/entity/Q118992,Menander,101,comedy writer_poet
http://www.wikidata.org/entity/Q11903,Hypatia,104,mathematician_philosopher_astronomer_writer_inventor
http://www.wikidata.org/entity/Q11930,Kevin Costner,105,actor_film actor_film director_musician_film producer_singer_guitarist_television actor_songwriter_voice actor_screenwriter
http://www.wikidata.org/entity/Q11948,Michael Ballack,79,association football player
http://www.wikidata.org/entity/Q119562,Sergio Agüero,86,association football player_online streamer_businessperson
http://www.wikidata.org/entity/Q119702,Anna van Groot-Brittannië,90,aristocrat_politician_queen regnant_ruler_statesperson_monarch
http://www.wikidata.org/entity/Q11975,Britney Spears,137,singer_songwriter_dancer_musician_businessperson_stage actor_television actor_film actor_screenwriter_manufacturer_presenter_model_perfumer_record producer_composer_singer-songwriter_public figure_fashion designer_music video director_writer_child singer_actor
http://www.wikidata.org/entity/Q11998,Kylie Minogue,111,television actor_actor_singer_film actor_film producer_songwriter_singer-songwriter_composer_fashion designer_writer_entrepreneur_philanthropist
http://www.wikidata.org/entity/Q12003,Cher,112,actor_singer_singer-songwriter_composer_film director_character actor_record producer_television actor_model_film actor_manufacturer_recording artist
http://www.wikidata.org/entity/Q12006,Dave Grohl,74,guitarist_film director_singer-songwriter_drummer_singer
http://www.wikidata.org/entity/Q1203,John Lennon,175,record producer_writer_actor_singer-songwriter_guitarist_film producer_poet_composer_film actor_pianist_singer_painter_film director_public figure_prosaist_peace activist_political activist_recording artist
http://www.wikidata.org/entity/Q12091,Henri Dunant,103,entrepreneur_writer_organizational founder_merchant
http://www.wikidata.org/entity/Q120993,Amedeo Modigliani,86,painter_sculptor_drawer
