http://www.wikidata.org/entity/Q15975,Charles de Montesquieu,146
http://www.wikidata.org/entity/Q16628,Wen Jiabao,83
http://www.wikidata.org/entity/Q17131,Pontius Pilatus,93
http://www.wikidata.org/entity/Q19837,Steve Jobs,213
http://www.wikidata.org/entity/Q23685,Jimmy Carter,176
http://www.wikidata.org/entity/Q39318,Naftali Bennett,85
http://www.wikidata.org/entity/Q47243,Elfriede Jelinek,118
http://www.wikidata.org/entity/Q1440,Didius Julianus,76
http://www.wikidata.org/entity/Q1769,Severus Alexander,77
http://www.wikidata.org/entity/Q2512,Kurt Georg Kiesinger,74
http://www.wikidata.org/entity/Q2628,Walter Ulbricht,74
http://www.wikidata.org/entity/Q482907,Bryan Adams,84
http://www.wikidata.org/entity/Q80,Tim Berners-Lee,146
http://www.wikidata.org/entity/Q15849,José Manuel Barroso,81
http://www.wikidata.org/entity/Q19878,Moammar al-Qadhafi,171
http://www.wikidata.org/entity/Q21001,Moon Jae-in,103
http://www.wikidata.org/entity/Q1446,Caracalla,84
http://www.wikidata.org/entity/Q1830,Decius,74
http://www.wikidata.org/entity/Q81752,Anton Bruckner,87
http://www.wikidata.org/entity/Q1339,Johann Sebastian Bach,242
http://www.wikidata.org/entity/Q1442,Septimius Severus,87
http://www.wikidata.org/entity/Q2685,Arnold Schwarzenegger,145
http://www.wikidata.org/entity/Q8556,Edsger Dijkstra,74
http://www.wikidata.org/entity/Q9049,Noam Chomsky,168
http://www.wikidata.org/entity/Q16977,Deng Xiaoping,124
http://www.wikidata.org/entity/Q18404,Henri Barbusse,87
http://www.wikidata.org/entity/Q19008,Arthur James Balfour,87
http://www.wikidata.org/entity/Q2646,Friedrich Ebert,76
http://www.wikidata.org/entity/Q39524,Gamal Abdel Nasser,119
http://www.wikidata.org/entity/Q483382,Steve Wozniak,94
http://www.wikidata.org/entity/Q18434,Léon Blum,71
http://www.wikidata.org/entity/Q1752,Macrinus,73
http://www.wikidata.org/entity/Q76428,Carl Philipp Emanuel Bach,72
http://www.wikidata.org/entity/Q254,Wolfgang Amadeus Mozart,253
http://www.wikidata.org/entity/Q19581,Rafael Correa,168
http://www.wikidata.org/entity/Q19526,Maya Angelou,130
http://www.wikidata.org/entity/Q2551,Johannes Rau,74
http://www.wikidata.org/entity/Q360,Julian Assange,131
http://www.wikidata.org/entity/Q1189,Usain Bolt,131
http://www.wikidata.org/entity/Q1480,Corazon Aquino,102
http://www.wikidata.org/entity/Q3910,Albert II van Monaco,87
http://www.wikidata.org/entity/Q15031,Xi Jinping,164
http://www.wikidata.org/entity/Q17293,Tenzin Gyatso,161
http://www.wikidata.org/entity/Q17457,Donald Knuth,88
http://www.wikidata.org/entity/Q19673,Al Gore,126
http://www.wikidata.org/entity/Q19825,Cecil Rhodes,90
http://www.wikidata.org/entity/Q23530,Dmitri Medvedev,164
http://www.wikidata.org/entity/Q17905,Martin Schulz,71
http://www.wikidata.org/entity/Q39464,Pol Pot,120
http://www.wikidata.org/entity/Q2514,Willy Brandt,116
http://www.wikidata.org/entity/Q2530,Gerhard Schröder,120
http://www.wikidata.org/entity/Q92764,Sergey Brin,96
http://www.wikidata.org/entity/Q11665,José Ramos-Horta,72
http://www.wikidata.org/entity/Q11860,Silvio Berlusconi,154
http://www.wikidata.org/entity/Q28085,Adolf Eichmann,85
